name_correct,name_source,woj
"""ADECCO POLAND"" SPÓŁKA Z OGRANICZONĄ ODPOWIEDZIALNOŚCIĄ",ADECCO Poland sp.z o.o.,14
"""ADECCO POLAND"" SPÓŁKA Z OGRANICZONĄ ODPOWIEDZIALNOŚCIĄ",ADECCO POLAND SP.Z O.O.,14
"""ADECCO POLAND"" SPÓŁKA Z OGRANICZONĄ ODPOWIEDZIALNOŚCIĄ",ADECCO POLAND SPÓŁKA Z OGRANICZONĄ ODPOWIEDZIALNOŚCIĄ,14
"""ADECCO POLAND"" SPÓŁKA Z OGRANICZONĄ ODPOWIEDZIALNOŚCIĄ",Adecco Polska Sp. Z o.o.,14
"""AGRO - BIZNES"" SP.J. SULARZ-RUDNICKI","""AGRO - BIZNES"" SP.J. SULARZ-RUDNICKI",08
"""AGRO - BIZNES"" SP.J. SULARZ-RUDNICKI","""AGROBIZNES"" Sp.z o.o.",08
"""AGRO-FISH"" SPÓŁKA Z OGRANICZONĄ ODPOWIEDZIALNOŚCIĄ","""AGRO-FISH"" SPÓŁKA Z OGRANICZONĄ ODPOWIEDZIALNOŚCIĄ",22
"""AGRO-FISH"" SPÓŁKA Z OGRANICZONĄ ODPOWIEDZIALNOŚCIĄ",AGRO-FISH Sp. z o.o.,22
"""AGRO-PAK"" PRODUKCJA HANDEL USŁUGI ALEKSANDER PASZKO","""AGRO-PAK"" Produkcja Handel Usługi  Aleksander Paszko",06
"""AGRO-PAK"" PRODUKCJA HANDEL USŁUGI ALEKSANDER PASZKO","""AGRO-PAK"" PRODUKCJA HANDEL USŁUGI ALEKSANDER PASZKO",06
"""AGROLAB POLSKA"" SPÓŁKA Z OGRANICZONĄ ODPOWIEDZIALNOŚCIĄ",AGROLAB Polska Sp. z o. o.,06
"""AGROLAB POLSKA"" SPÓŁKA Z OGRANICZONĄ ODPOWIEDZIALNOŚCIĄ",AGROLAB Polska Sp.z o.o.,06
"""ALCHEMIA"" SPÓŁKA AKCYJNA",ALCHEMIA S.A.,14
"""ALCHEMIA"" SPÓŁKA AKCYJNA",ALCHEMIA S.A. Oddział Walcownia Rur Andrzej w Zawadzkiem,14
